title,slug,category,description,keywords
Gramática essencial sobre revisão: tempos verbais básicos,gramatica-essencial-sobre-revisao-tempos-verbais-basicos,gramatica,"Gramática essencial da semana sobre revisão: tempos verbais básicos, com explicações simples para iniciantes em inglês.","revisão: tempos verbais básicos, inglês para iniciantes, aprender inglês, gramatica"
Vocabulário prático sobre revisão: tempos verbais básicos,vocabulario-pratico-sobre-revisao-tempos-verbais-basicos,vocabulario,"Vocabulário prático da semana sobre revisão: tempos verbais básicos, com explicações simples para iniciantes em inglês.","revisão: tempos verbais básicos, inglês para iniciantes, aprender inglês, vocabulario"
Frases e estrutura sobre revisão: tempos verbais básicos,frases-e-estrutura-sobre-revisao-tempos-verbais-basicos,frases,"Frases e estrutura da semana sobre revisão: tempos verbais básicos, com explicações simples para iniciantes em inglês.","revisão: tempos verbais básicos, inglês para iniciantes, aprender inglês, frases"
Dica complementar sobre revisão: tempos verbais básicos,dica-complementar-sobre-revisao-tempos-verbais-basicos,dica,"Dica complementar da semana sobre revisão: tempos verbais básicos, com explicações simples para iniciantes em inglês.","revisão: tempos verbais básicos, inglês para iniciantes, aprender inglês, dica"
Aplicação prática sobre revisão: tempos verbais básicos,aplicacao-pratica-sobre-revisao-tempos-verbais-basicos,aplicacao,"Aplicação prática da semana sobre revisão: tempos verbais básicos, com explicações simples para iniciantes em inglês.","revisão: tempos verbais básicos, inglês para iniciantes, aprender inglês, aplicacao"
Erros comuns sobre revisão: tempos verbais básicos,erros-comuns-sobre-revisao-tempos-verbais-basicos,erros,"Erros comuns da semana sobre revisão: tempos verbais básicos, com explicações simples para iniciantes em inglês.","revisão: tempos verbais básicos, inglês para iniciantes, aprender inglês, erros"
Revisão da semana sobre revisão: tempos verbais básicos,revisao-da-semana-sobre-revisao-tempos-verbais-basicos,revisao,"Revisão da semana da semana sobre revisão: tempos verbais básicos, com explicações simples para iniciantes em inglês.","revisão: tempos verbais básicos, inglês para iniciantes, aprender inglês, revisao"
Gramática essencial sobre vocabulário: tecnologia e internet,gramatica-essencial-sobre-vocabulario-tecnologia-e-internet,gramatica,"Gramática essencial da semana sobre vocabulário: tecnologia e internet, com explicações simples para iniciantes em inglês.","vocabulário: tecnologia e internet, inglês para iniciantes, aprender inglês, gramatica"
Vocabulário prático sobre vocabulário: tecnologia e internet,vocabulario-pratico-sobre-vocabulario-tecnologia-e-internet,vocabulario,"Vocabulário prático da semana sobre vocabulário: tecnologia e internet, com explicações simples para iniciantes em inglês.","vocabulário: tecnologia e internet, inglês para iniciantes, aprender inglês, vocabulario"
Frases e estrutura sobre vocabulário: tecnologia e internet,frases-e-estrutura-sobre-vocabulario-tecnologia-e-internet,frases,"Frases e estrutura da semana sobre vocabulário: tecnologia e internet, com explicações simples para iniciantes em inglês.","vocabulário: tecnologia e internet, inglês para iniciantes, aprender inglês, frases"
Dica complementar sobre vocabulário: tecnologia e internet,dica-complementar-sobre-vocabulario-tecnologia-e-internet,dica,"Dica complementar da semana sobre vocabulário: tecnologia e internet, com explicações simples para iniciantes em inglês.","vocabulário: tecnologia e internet, inglês para iniciantes, aprender inglês, dica"
Aplicação prática sobre vocabulário: tecnologia e internet,aplicacao-pratica-sobre-vocabulario-tecnologia-e-internet,aplicacao,"Aplicação prática da semana sobre vocabulário: tecnologia e internet, com explicações simples para iniciantes em inglês.","vocabulário: tecnologia e internet, inglês para iniciantes, aprender inglês, aplicacao"
Erros comuns sobre vocabulário: tecnologia e internet,erros-comuns-sobre-vocabulario-tecnologia-e-internet,erros,"Erros comuns da semana sobre vocabulário: tecnologia e internet, com explicações simples para iniciantes em inglês.","vocabulário: tecnologia e internet, inglês para iniciantes, aprender inglês, erros"
